/home/david/Descargas/OpenS Demo/OpenS/backend-ia/main.py:24: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai  # type: ignore
INFO:     Started server process [74128]
INFO:     Waiting for application startup.
INFO:     127.0.0.1:41722 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41738 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48160 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48168 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48170 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56938 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:56948 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:51028 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:51042 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [74128]
